Name,Icon Image,Photo Image,House Image,Species,Gender,Personality,Subtype,Hobby,Birthday,Catchphrase,Favorite Song,Favorite Saying,Style 1,Style 2,Color 1,Color 2,Default Clothing,Default Umbrella,Wallpaper,Flooring,Furniture List,Furniture Name List,DIY Workbench,Kitchen Equipment,Version Added,Name Color,Bubble Color,Filename,Unique Entry ID
Anchovy,,,,Bird,Male,Lazy,B,Play,3/4,chuurp,K.K. Ragtime,Why do today what you can put off until tomorrow?,Simple,Simple,Colorful,Orange,3630,kiwi umbrella,modern wood wall,simple red flooring,791;863;937;1081;1087;1177;1852;1852;1853;3681;4014,jukebox;billiard table;dartboard;upright piano;pinball machine;foosball table;box sofa;box sofa;box corner sofa;piano bench;folding floor lamp,"3943,1_0","3616,1_0",1.0.0,#fffce9,#d86808,brd02,T9ya79MPxRxcR4tae
Angus,,,,Bull,Male,Cranky,B,Fitness,4/30,macmoo,K.K. Calypso,Even strong bulls cry.,Cool,Cool,Red,Black,9536,bat umbrella,wild-wood wall,red-and-black vinyl flooring,793;863;864;937;2554;3194;3818;3956;3957;3958;4132,high-end stereo;billiard table;bingo wheel;dartboard;double sofa;ironwood low table;pennant;antique bureau;antique bed;antique mini table;yucca,"3943,2_0","3616,4_0",1.0.0,#fff2bb,#ff791f,bul00,jHQfWetzGf6Zhgt4u
Anicotti,,,,Mouse,Female,Peppy,B,Fashion,2/24,cannoli,Neapolitan,The walls have ears.,Simple,Elegant,Red,Pink,7641,apple umbrella,beaded-curtain wall,kitschy tile,928;1836;1845;1913;2560;2605;3251;3400;3438;3439;4132;7137;7236;7335;9766,pot rack;humidifier;simple kettle;wooden chair;wooden chest;wooden simple bed;gas range;dish-drying rack;wooden end table;wooden table;yucca;wooden full-length mirror;lily record player;white simple medium mat;mini fridge,"3122,5_0","3251,1_0",1.0.0,#28665a,#78dd62,mus10,oGr6N9vC3TD9raXbf
Ankha,,,,Cat,Female,Snooty,B,Nature,9/22,me meow,K.K. Bazaar,All that glitters is not gold.,Gorgeous,Simple,Colorful,Brown,3441,ghost umbrella,ancient wall,pyramid tile,3065;3472;3774;3810;5165;8608;8825;8825;8825,gold bars;golden toilet;Libra scale;golden dishes;wall-mounted candle;pyramid;golden casket;golden casket;golden casket,"1241,2_0","3270,3_0",1.0.0,#9b8986,#fff80d,cat19,AWdRRws22EGTxC7vc
Annalisa,,,,Anteater,Female,Normal,A,Nature,2/6,gumdrop,King K.K.,Home is where the heart is.,Elegant,Gorgeous,Red,Pink,3572,cherry-blossom umbrella,gold-screen wall,tatami,109;716;725;3230;3551;3622;3974;5976;7048;7865,moss ball;screen;paper lantern;futon;bamboo shelf;floor seat;imperial low table;bamboo sphere;pile of zen cushions;elaborate kimono stand,"1241,0_0",717,1.0.0,#848484,#ffffff,ant08,XTwyzscZPAA8LRdYN
Annalise,,,,Horse,Female,Snooty,B,Fashion,12/2,nipper,Aloha K.K.,Let gossip go in one ear and out the other.,Elegant,Active,Blue,Purple,8190,fairy-tale umbrella,tropical vista,yellow floral flooring,975;998;1288;3684;3983;4130;5150;7134;7148;7259;7868,fruit basket;kitchen island;fan palm;coconut juice;shell bed;coconut wall planter;shell speaker;wooden low table;life ring;palm-tree lamp;surfboard,"3943,0_0","998,3_0",1.0.0,#eac113,#7c6559,hrs09,88YKJKvjin32GeG4H
Antonio,,,,Anteater,Male,Jock,B,Fitness,10/20,honk,K.K. Ragtime,Always go for the burn!,Simple,Simple,Aqua,Blue,8200,blue umbrella,starry wall,wooden-knot flooring,1759;1913;2560;2605;3122;3438;3439;4125;4308;4757,stack of books;wooden chair;wooden chest;wooden simple bed;mini DIY workbench;wooden end table;wooden table;wooden bookshelf;unfinished puzzle;throwback skull radio,"3122,0_0","3251,3_0",1.0.0,#879b96,#fff98f,ant01,RQNii4nDE2AWswpgE
Apollo,,,,Eagle,Male,Cranky,B,Music,7/4,pah,K.K. Rock,What goes up must come down.,Cool,Simple,Black,Black,8564,bat umbrella,shutter wall,slate flooring,793;863;1288;3428;3586;4014;4052;4139;4141;4441,high-end stereo;billiard table;fan palm;wall-mounted TV (50 in.);magazine;folding floor lamp;rattan bed;diner counter table;diner sofa;diner mini table,"1241,0_0","3251,0_0",1.0.0,#848484,#ffffff,pbr00,25sZq7NjGGADiEXtR
Apple,,,,Hamster,Female,Peppy,A,Play,9/24,cheekers,I Love You,One rotten apple spoils the barrel.,Cute,Simple,Colorful,Red,8296,Toad parasol,apple wall,simple white flooring,928;1783;1792;2560;2596;2605;3122;3251;3400;3490;3996;4003;4134;7134;7327;9766,pot rack;corkboard;cushion;wooden chest;juicy-apple TV;wooden simple bed;mini DIY workbench;gas range;dish-drying rack;wooden waste bin;cute wall-mounted clock;cute music player;apple chair;wooden low table;apple rug;mini fridge,"3122,0_0","3251,2_0",1.0.0,#fffce9,#ff6183,ham01,bEHwPJ3GBDZaNE4Bd
Astrid,,,,Kangaroo,Female,Snooty,B,Music,9/8,my pet,K.K. Gumbo,The apple doesn't fall far from the tree.,Cool,Active,Black,Colorful,4559,spider umbrella,backyard-fence wall,backyard lawn,1170;1199;1708;2319;2329;2329;2329;3430;3962;4379,swinging bench;tricycle;cassette player;drinking fountain;tire toy;tire toy;tire toy;playground gym;inflatable sofa;springy ride-on,7142,"3270,1_0",1.0.0,#848484,#ffffff,kgr05,qrki2afmbkBQ6DbmZ
Audie,,,,Wolf,Female,Peppy,A,Fitness,8/31,foxtrot,K.K. Island,Be the kind of person your future self won't regret having been.,Cute,Active,Green,White,2687,fairy-tale umbrella,tropical vista,green floral flooring,787;975;1866;3431;3615;3672;3684;4046;4054;4109;4143;7259;8395,tape deck;fruit basket;menu chalkboard;wall fan;open-frame kitchen;cardboard box;coconut juice;rattan end table;rattan low table;double-door refrigerator;diner neon sign;palm-tree lamp;yellow kitchen mat,"3943,0_0",3615,1.0.0,#fff2bb,#ff791f,wol12,2tufzN7iwjncqLu7Y
Aurora,,,,Penguin,Female,Normal,B,Education,1/27,b-b-baby,Stale Cupcakes,Always keep your cool.,Cute,Elegant,Pink,Red,4289,snowflake umbrella,ice wall,ice flooring,3340;3498;3500;3500;3502;4131;4131;4338;5165;5165;5956;5956;5959,deer decoration;frozen partition;frozen pillar;frozen pillar;frozen bed;illuminated snowflakes;illuminated snowflakes;portable record player;wall-mounted candle;wall-mounted candle;Aquarius urn;Aquarius urn;Cancer table,"3943,4_0","3251,0_0",1.0.0,#848484,#ffffff,pgn00,CXt3MBoeCZXXSRS7B
Ava,,,,Chicken,Female,Normal,B,Music,4/28,beaker,K.K. Love Song,"Early to bed, early to rise.",Elegant,Cute,Red,Gray,4731,Toad parasol,white-rose wall,simple white flooring,1838;2560;2740;3428;3490;3616;4003;7132;7134;7137;7365;7789,ironing set;wooden chest;automatic washer;wall-mounted TV (50 in.);wooden waste bin;system kitchen;cute music player;wooden double bed;wooden low table;wooden full-length mirror;pink rose rug;drying rack,"3943,0_0","3616,6_0",1.0.0,#fffce9,#e8b010,chn05,93emjZzaaLb7BdkSn
Avery,,,,Eagle,Male,Cranky,B,Music,2/22,skree-haw,K.K. Condor,What goes around comes around.,Simple,Gorgeous,Orange,Brown,4154,camo umbrella,western vista,rocky-mountain flooring,343;343;1430;3397;3398;4025;4073;7345;7393;10743,tiki torch;tiki torch;bonfire;stone table;stone stool;unglazed dish set;classic pitcher;shanty mat;pond stone;bamboo speaker,7142,717,1.0.0,#fffce9,#c0ab72,pbr05,SKF5NqPPqzjL7dEng
Axel,,,,Elephant,Male,Jock,B,Fitness,3/23,WHONK,K.K. Dixie,Do not compare a fly with an elephant.,Active,Simple,Green,White,3575,two-tone umbrella,blue playroom wall,blue rubber flooring,1181;1558;1559;2731;3205;3623;4756;4759;4761;4762;5543;7392,tennis table;wooden-block bookshelf;wooden-block bench;digital alarm clock;wooden-block stereo;toy box;throwback wall clock;throwback race-car bed;throwback rocket;throwback container;wooden-block stool;candy machine,"1241,5_0","3251,3_0",1.0.0,#fffce9,#459aba,elp06,K3aj3w7fLcMETyuzf
Azalea,,,,Rhinoceros,Female,Snooty,B,Nature,12/18,merci,K.K. Lovers,"Colorful petals, deep roots.",Elegant,Gorgeous,Purple,Pink,4599,petal parasol,blue quilt wall,wooden-knot flooring,742;915;3995;7143;12305;13079;13496;13625;13629,fireplace;cuckoo clock;cute DIY table;Mom's candle set;Casablanca lilies;Nordic table;stonework kitchen;patchwork chair;patchwork bed,"3995,1_0","13496,1_0",2.0.0,#fffce9,#00d1bd,rhn05,2CX2qeoCkm9FQGrZv
Baabara,,,,Sheep,Female,Snooty,B,Fashion,3/28,daahling,K.K. Cruisin',Don't just follow the flock.,Gorgeous,Elegant,Purple,Blue,4616,raindrop umbrella,stormy-night wall,brown iron-parquet flooring,794;1840;3428;3468;3950;3951;3955;3958;4015;4027;4102;7348;7348;10244,phonograph;whirlpool bath;wall-mounted TV (50 in.);beach towel;antique chair;antique console table;antique vanity;antique mini table;shower booth;floral swag;poolside bed;red carpet;red carpet;fragrance sticks,"3943,2_0","3616,4_0",1.0.0,#fffad4,#8bcdea,shp01,LAWZdKWcejrkbikco
Bam,,,,Deer,Male,Jock,A,Play,11/7,kablang,K.K. Blues,Get while the getting's good.,Active,Simple,Green,Brown,7198,green umbrella,concrete wall,blue rubber flooring,833;1181;1759;3431;3946;4003;4026;4116;7150;7529;7529,upright locker;tennis table;stack of books;wall fan;outdoor table;cute music player;utility sink;whiteboard;blue corner;folding chair;folding chair,"3943,0_0","3251,0_0",1.0.0,#fffce9,#0961f6,der01,2yvPukPn4ZSamngmb
Bangle,,,,Tiger,Female,Peppy,B,Fashion,8/27,growf,K.K. Soul,Don't blink or you'll miss it.,Gorgeous,Cute,Yellow,Green,2687,rainbow umbrella,yellow intricate wall,blue floral flooring,929;1501;1753;2554;2560;3270;3400;3438;4003;4109;4118;7132;7134;7137;8604,air conditioner;Baby bear;aroma pot;double sofa;wooden chest;ironwood kitchenette;dish-drying rack;wooden end table;cute music player;double-door refrigerator;magnetic knife rack;wooden double bed;wooden low table;wooden full-length mirror;bold muumuu,"3122,0_0","3270,4_0",1.0.0,#fffce9,#7a2500,tig03,DvL5iP2kNCNfwc6Mv
Barold,,,,Bear cub,Male,Lazy,A,Play,3/2,cubby,K.K. Song,Please DO feed the bears!,Simple,Cool,Yellow,Black,8198,vinyl umbrella,security-monitors wall,monochromatic tile flooring,832;833;840;875;1126;1165;1232;1434;1759;1850;3565;3672;3697;3987;3987;4015;7356;8298,modern office chair;upright locker;office desk;breaker;server;surveillance camera;water cooler;sleeping bag;stack of books;laptop;security uniform;cardboard box;portable radio;wall-mounted phone;wall-mounted phone;shower booth;aluminum rug;bunk bed,"1241,3_0","3251,4_0",1.0.0,#5e5e5e,#bfbfbf,cbr16,6qZJQFWqeCHzPNyEZ
Bea,,,,Dog,Female,Normal,A,Nature,10/15,bingo,Drivin',The perfect pair complements each other.,Simple,Cool,Aqua,Green,7784,mint umbrella,blackboard wall,cork flooring,928;954;1845;1850;1866;2014;2014;3615;3619;3619;3619;3619;4003;4053;4107;4129;4139;4139;4139;7337,pot rack;espresso maker;simple kettle;laptop;menu chalkboard;lecture-hall desk;lecture-hall desk;open-frame kitchen;soup kettle;soup kettle;soup kettle;soup kettle;cute music player;rattan armchair;infused-water dispenser;monstera;diner counter table;diner counter table;diner counter table;iron entrance mat,"3943,0_0",3615,1.0.0,#fffce9,#a87850,dog10,DkqHjENW8fRBE9uxG
Beardo,,,,Bear,Male,Smug,A,Education,9/27,whiskers,K.K. Milonga,Fashion first!,Elegant,Elegant,Brown,Blue,3706,tartan-check umbrella,blue-crown wall,simple purple flooring,794;1750;2554;3561;3783;3784;3951;3954;3958;4009,phonograph;document stack;double sofa;iron hanger stand;den desk;den chair;antique console table;antique clock;antique mini table;cordless phone,"3943,2_0","3616,5_0",1.0.0,#fffce9,#3fd8e0,bea13,3XoqTm3LW4C4BvLBt
Beau,,,,Deer,Male,Lazy,A,Nature,4/5,saltlick,Mountain Song,"You snooze, you lose.",Simple,Cute,Beige,Orange,4566,melon umbrella,meadow vista,daisy meadow,1082;1143;1157;1434;1708;4042;5970;6033;7393;7404,picnic basket;smoker;brick oven;sleeping bag;cassette player;log bench;firewood;outdoor picnic set;pond stone;blue vinyl sheet,7142,717,1.0.0,#fff2bb,#ff791f,der07,zbkkW8wWbmyGAZauv
Becky,,,,Chicken,Female,Snooty,B,Music,12/9,chicklet,K.K. Chorale,A fool and his Bells are soon parted.,Gorgeous,Elegant,Purple,Pink,8173,green chic umbrella,palace wall,palace tile,794;987;1058;1449;1875;2772;3681;3954;3958,phonograph;harp;music stand;cello;grand piano;fancy violin;piano bench;antique clock;antique mini table,"3943,2_0","3616,5_0",1.0.0,#fffce9,#a06fce,chn09,D7Atj8BuHK6mgwwvZ
Bella,,,,Mouse,Female,Peppy,B,Music,12/28,eeks,K.K. Metal,A glamour shot is worth a thousand words.,Cool,Active,Black,Purple,4559,spider umbrella,concrete wall,skull-print flooring,1757;1870;3559;3563;3621;3943;4017;4030;4071;4137;4138;4139;4441;4757;8417,claw-foot tub;mug;iron wall lamp;iron shelf;loft bed with desk;ironwood DIY workbench;shower set;bathroom towel rack;electronics kit;diner chair;diner counter chair;diner counter table;diner mini table;throwback skull radio;wall-mounted tool board,"3943,3_0",3615,1.0.0,#848484,#ffffff,mus02,hu4qewj6YKKmzMpYL
Benedict,,,,Chicken,Male,Lazy,B,Play,10/10,uh-hoo,I Love You,Don't put all your eggs in one basket.,Simple,Simple,Blue,Purple,2541,snowflake umbrella,backyard-fence wall,backyard lawn,330;1199;1631;1799;3348;3468;3962;4003;4113;7148,barbecue;tricycle;garden faucet;doghouse;plastic pool;beach towel;inflatable sofa;cute music player;hose reel;life ring,"1241,7_0","3270,4_0",1.0.0,#fffad4,#ff4040,chn01,BjcoELiTM3m8StExF
Benjamin,,,,Dog,Male,Lazy,A,Nature,8/3,alrighty,Mr. K.K.,A good dog deserves a good treat.,Simple,Simple,Red,White,4145,kabuki umbrella,common wall,common flooring,833;870;1308;1308;1328;1328;1330;1558;2012;3584;3672;3965;3967;3968;4003;4125,upright locker;book stands;school chair;school chair;school desk;school desk;basic teacher's desk;wooden-block bookshelf;chalkboard;study poster;cardboard box;painting set;broom and dustpan;homework set;cute music player;wooden bookshelf,"1241,0_0",3615,1.0.0,#9b553a,#ffd00d,dog16,wgb64Mp6XbFS2CPwj
Bertha,,,,Hippo,Female,Normal,B,Education,4/25,bloop,Two Days Ago,The best part of spring is the picnics!,Cute,Elegant,Pink,White,4506,picnic umbrella,white-rose wall,rose flooring,929;1227;1783;2554;2605;2713;3193;3194;3270;3275;3775;3943;4048;4111;4308,air conditioner;deluxe washer;corkboard;double sofa;wooden simple bed;refrigerator;ironwood chair;ironwood low table;ironwood kitchenette;ironwood clock;hanging terrarium;ironwood DIY workbench;rattan towel basket;old-fashioned alarm clock;unfinished puzzle,"3943,4_0","3270,4_0",1.0.0,#fffce9,#00d1bd,hip03,oMQnY9fuzdtPweuLi
Bettina,,,,Mouse,Female,Normal,B,Education,6/12,eekers,Animal City,No time like the present!,Simple,Elegant,White,Red,3177,sunny parasol,blackboard wall,birch flooring,794;918;920;928;954;998;3271;3445;3561;3951;4026;4109;4135;4138;4138;7337,phonograph;coffee cup;coffee grinder;pot rack;espresso maker;kitchen island;ironwood cupboard;standard umbrella stand;iron hanger stand;antique console table;utility sink;double-door refrigerator;freezer;diner counter chair;diner counter chair;iron entrance mat,"3943,4_0","998,3_0",1.0.0,#fff2bb,#ff791f,mus15,r9JpujcMdgTRABad9
Bianca,,,,Tiger,Female,Peppy,A,Play,12/13,glimmer,K.K. House,There is such a thing as love at first sight.,Cute,Cute,Pink,Orange,8506,mini-flower-print umbrella,white-brick wall,leopard-print flooring,1050;1836;2713;3270;3436;3562;3618;4000;4046;4052;4141;7134;7137,mixer;humidifier;refrigerator;ironwood kitchenette;wooden wardrobe;iron wall rack;cutting board;cute tea table;rattan end table;rattan bed;diner sofa;wooden low table;wooden full-length mirror,"3122,0_0","3270,4_0",1.0.0,#848484,#ffffff,tig06,KGECko2WSNbQp4oRY
Biff,,,,Hippo,Male,Jock,B,Fitness,3/29,squirt,The K. Funk,Eighth place is just the seventh loser.,Gorgeous,Active,Black,Blue,4327,bat umbrella,street-art wall,paintball flooring,787;1185;2010;2614;3965;4226;7654;9619,tape deck;phone box;ball;mountain bike;painting set;basketball hoop;electric kick scooter;utility pole,"3943,3_0","3251,2_0",1.0.0,#fffce9,#7a2500,hip04,sT2KXbN2N3dqB6aaN
Big Top,,,,Elephant,Male,Lazy,B,Play,10/3,villain,Go K.K. Rider,A big nose never spoiled a handsome face.,Simple,Active,Green,Green,12037,green umbrella,construction-site wall,steel flooring,290;787;1452;2556;3672;4013;4116;6475;7152,treadmill;tape deck;weight bench;garbage pail;cardboard box;punching bag;whiteboard;Big Top's photo;neutral corner,"1241,4_0",3615,1.0.0,#28665a,#78dd62,elp02,o2NPbZGfMvTD7Se5i
Bill,,,,Duck,Male,Jock,A,Play,2/1,quacko,Imperial K.K.,"Even though there's no 'I' in team, there is a 'me'!",Active,Active,Blue,Purple,2727,fairy-tale umbrella,bamboo-screen wall,bamboo flooring,710;717;794;928;3344;3344;3970;3971;3972;6031;7348;7409;7796;7797;7797;8415,bamboo bench;clay furnace;phonograph;pot rack;steamer-basket set;steamer-basket set;imperial decorative shelves;imperial partition;imperial chest;cherry-blossom branches;red carpet;cherry-blossom pond stone;imperial dining table;imperial dining chair;imperial dining chair;imperial dining lantern,"3943,0_0",717,1.0.0,#fffce9,#7a2500,duk00,hcnPuswvHJykZw7BX
Billy,,,,Goat,Male,Jock,A,Play,3/25,dagnaabit,K.K. Song,Old dogs can learn new tricks.,Simple,Active,Blue,Purple,3164,paper parasol,manga-library wall,garbage-heap flooring,1750;1759;1861;3672;3672;3672;4034;4114;7159;7160;7161;7163;7163,document stack;stack of books;stacked magazines;cardboard box;cardboard box;cardboard box;scattered papers;tissue box;cardboard sofa;cardboard table;cardboard bed;cardboard chair;cardboard chair,"3122,2_0","3251,0_0",1.0.0,#fffce9,#d86808,goa02,dqEHTSBSx5iLhGiSC
Biskit,,,,Dog,Male,Lazy,B,Play,5/13,dawg,K.K. Mambo,Let sleeping dogs lie.,Gorgeous,Simple,Purple,Colorful,4717,pineapple umbrella,backyard-fence wall,backyard lawn,338;1082;1199;1620;1631;2592;3430;4003;4038;4113;7403,lawn mower;picnic basket;tricycle;hammock;garden faucet;tin bucket;playground gym;cute music player;log stool;hose reel;yellow vinyl sheet,7142,"3270,0_0",1.0.0,#874c25,#ffaa3b,dog03,nfeef6XSSstGwrbWo
Bitty,,,,Hippo,Female,Snooty,A,Education,10/6,my dear,K.K. Disco,Necessity is the mother of all invention.,Cute,Elegant,Pink,Orange,4403,purple shiny-bows parasol,gray molded-panel wall,lobby flooring,1127;1128;1816;2554;3195;3560;3696;3948;4338;4557;7531;7879;7913;7938;7943;8599;8955,old sewing machine;sewing machine;changing room;double sofa;ironwood cart;iron worktable;sweetheart dress;accessories stand;portable record player;retro A-line dress;ironing board;retro sleeveless dress;retro dress;full-length dress with pearls;satin dress;casual chic dress;loose fall dress,"3943,2_0","3270,2_0",1.0.0,#fffce9,#f993ce,hip05,JGyY83aN4ocBGZs8s
Blaire,,,,Squirrel,Female,Snooty,B,Fashion,7/3,nutlet,K.K. Bossa,Practice makes perfect.,Gorgeous,Elegant,Orange,Brown,2704,hydrangea umbrella,arched-window wall,gold iron-parquet flooring,3943;3949;3971;4027;4027;4027;4046;4054;7232;7234;7235;7236;7337;7527;7538;10244,ironwood DIY workbench;anthurium plant;imperial partition;floral swag;floral swag;floral swag;rattan end table;rattan low table;mum cushion;hyacinth lamp;rose bed;lily record player;iron entrance mat;flower stand;simple medium purple mat;fragrance sticks,"3943,1_0","3270,1_0",1.0.0,#fffce9,#515151,squ01,SjArzqyvbHAbgRz8D
Blanche,,,,Ostrich,Female,Snooty,A,Nature,12/21,quite so,K.K. Jongara,Nothing beats personal experience.,Elegant,Gorgeous,Black,Brown,6025,black lace umbrella,standard tearoom wall,tatami flooring,725;1029;3230;3551;3572;3970;3974;4033;7047;7865;8992,paper lantern;low screen;futon;bamboo shelf;blossoming kimono;imperial decorative shelves;imperial low table;traditional tea set;zen cushion;elaborate kimono stand;flashy kimono,"3122,0_0",717,1.0.0,#848484,#ffffff,ost08,2B4NDzz69JKjjqF9o
Bluebear,,,,Bear cub,Female,Peppy,B,Fashion,6/24,peach,Only Me,Candy makes the world go 'round.,Cute,Simple,White,Blue,7672,strawberry umbrella,blue simple-cloth wall,blue dot flooring,3624;3995;3996;3997;3998;3999;4000;4001;4002;4003,cute bed;cute DIY table;cute wall-mounted clock;cute wardrobe;cute sofa;cute chair;cute tea table;cute vanity;cute floor lamp;cute music player,"3995,0_0","3251,0_0",1.0.0,#fffce9,#3fd8e0,cbr00,ytYM52sRa4vhWW9cF
Bob,,,,Cat,Male,Lazy,B,Play,1/1,pthhpth,Neapolitan,You only live once...or nine times.,Simple,Cute,Colorful,Red,8205,eggy parasol,blue playroom wall,colorful puzzle flooring,1557;1558;1559;1561;1565;2558;3205;3206;3208;3623,wooden-block bed;wooden-block bookshelf;wooden-block bench;wooden-block chest;wooden-block table;wooden-block chair;wooden-block stereo;wooden-block toy;wooden-block wall clock;toy box,"3995,4_0","3270,4_0",1.0.0,#fffce9,#a06fce,cat00,KijzbrvT4obqCnBTw
Bonbon,,,,Rabbit,Female,Peppy,A,Play,3/3,deelish,Bubblegum K.K.,Hindsight is always 20/20.,Cute,Elegant,Aqua,Yellow,8360,strawberry umbrella,cute yellow wall,white-paint flooring,3624;3995;3996;3997;3998;3999;4000;4001;4002;4003;7578,cute bed;cute DIY table;cute wall-mounted clock;cute wardrobe;cute sofa;cute chair;cute tea table;cute vanity;cute floor lamp;cute music player;white heart rug,"3995,2_0","3616,3_0",1.0.0,#eac113,#7c6559,rbt17,yEQijXt6x8kQxdTrD
