Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
animal-print coat,,,Pink,No,2320,580,51,Pink,Pink,1x1,2100,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Free,Free,Cute,Gorgeous,everyday,1,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnimal3,388,8451,rsgnoR4TBYBqJMXBg
animal-print coat,,,Green,No,2320,580,51,Green,Green,1x1,2100,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Free,Free,Cute,Gorgeous,everyday,2,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnimal1,388,8449,gWnBj8n2ZKrm8j8zf
animal-print coat,,,Blue,No,2320,580,51,Blue,Aqua,1x1,2100,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,Winter,Free,Free,Cute,Gorgeous,everyday,3,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnimal0,388,4465,ozg6yMkXQzsmkjPsW
animal-print coat,,,Purple,No,2320,580,51,Purple,Purple,1x1,2100,Poki,Able Sisters,Available from Able Sisters shop only,Winter (shopping),No,Winter,Winter,NA,Free,Free,Cute,Gorgeous,everyday,4,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnimal2,388,8450,jKHbF6WwExfSBPBww
animal-stripes tee,,,Zebra,No,960,240,51,Gray,Black,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,NA,Free,Free,Cool,Gorgeous,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHStripe1,1027,12066,gkjWimKdm6sMgiTw8
animal-stripes tee,,,Tiger,No,960,240,51,Yellow,Black,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,NA,Free,Free,Cool,Gorgeous,everyday; comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHStripe0,1027,8198,WTG2RBsXk5cimHsis
annyeong tee,,,NA,No,640,160,51,Aqua,White,1x1,580,Poki,Nook Shopping Daily Selection,,NA,NA,All Year,Summer,NA,Free,Free,Simple,Simple,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHHellokr0,1171,12117,mfMor9YWpsoEbPK5e
anorak jacket,,,Red,No,1400,350,51,Red,Red,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Free,Simple,Cool,everyday; outdoorsy,1,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnorak1,548,9308,Ws4vh3dya8i8nPtJ9
anorak jacket,,,Blue,No,1400,350,51,Blue,Blue,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Free,Simple,Cool,everyday; outdoorsy,2,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnorak2,548,9309,BaiWuWNL9muLeYYkQ
anorak jacket,,,Camel,No,1400,350,51,Beige,Beige,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Free,Simple,Cool,everyday; outdoorsy,3,Yes,For sale,1.0.0,Yes,TopsTexTopCoatLAnorak0,548,4793,agpR79ZTHcuQheDdF
apron,,,Gray,No,840,210,51,Gray,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,everyday; work,1,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron6,87,9600,QdF6ZF74688kYPLx3
apron,,,Pink,No,840,210,51,Pink,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,everyday; work,2,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron3,87,9597,yT7c96mMafv5QEddb
apron,,,Orange,No,840,210,51,Orange,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,everyday; work,3,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron0,87,3228,LTZqXvkrNxza2nMPb
apron,,,Green,No,840,210,51,Green,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,everyday; work,4,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron1,87,9595,d5kmhJqzcK6uT3iJr
apron,,,Light blue,No,840,210,51,Aqua,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,everyday; work,5,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron4,87,9598,EbD6WxjrdSDosTkPa
apron,,,Blue,No,840,210,51,Blue,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,everyday; work,6,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron2,87,9596,sc9Mtxn3PWuAtCtWt
apron,,,Purple,No,840,210,51,Purple,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,everyday; work,7,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron5,87,9599,GRb6jZGaZzWdsmYuj
apron,,,Brown,No,840,210,51,Brown,White,1x1,760,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Active,everyday; work,8,Yes,For sale,1.0.0,Yes,TopsTexTopCoatHApron7,87,9601,wu2TYq7RGJWFEugZs
Aran-knit cardigan,,,Pink,No,1300,325,51,Pink,Pink,1x1,1200,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArancardigan2,212,7679,mJtGnjdLxpmdakhxo
Aran-knit cardigan,,,Yellow,No,1300,325,51,Yellow,Yellow,1x1,1200,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArancardigan3,212,7680,7nmckbhG5uG3JQxPz
Aran-knit cardigan,,,Light blue,No,1300,325,51,Aqua,Aqua,1x1,1200,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,3,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArancardigan1,212,7678,MzK6AWudRCPLEdSPi
Aran-knit cardigan,,,Beige,No,1300,325,51,Beige,Beige,1x1,1200,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,4,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArancardigan0,212,3643,fJR97K7r3qHAB2TLr
Aran-knit sweater,,,White,No,1200,300,51,White,White,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran1,209,7672,r9fBZ2q6e4neh4vxK
Aran-knit sweater,,,Gray,No,1200,300,51,Gray,Gray,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran2,209,7673,GDMzeQoGkah87ocD7
Aran-knit sweater,,,Black,No,1200,300,51,Black,Black,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; comfy,3,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran4,209,7675,nDgu8apAqxvPpaYaa
Aran-knit sweater,,,Red,No,1200,300,51,Red,Red,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; comfy,4,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran0,209,3633,Bk2v8mfDeJJX3khg6
Aran-knit sweater,,,Orange,No,1200,300,51,Orange,Orange,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; comfy,5,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran5,209,7676,yWjKAXMSpvrdPQ96S
Aran-knit sweater,,,Green,No,1200,300,51,Green,Green,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; comfy,6,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran3,209,7674,twRmAecxYcKDTriJu
Aran-knit sweater,,,Blue,No,1200,300,51,Blue,Blue,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; comfy,7,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLAran6,209,7677,csp3scivRcpNKguZd
argyle sweater,,,White,No,1200,300,51,White,Green,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,Winter,Free,Free,Simple,Elegant,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle7,195,7748,22jF8CGD8WXrECzwD
argyle sweater,,,Gray,No,1200,300,51,Gray,Purple,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle1,195,7742,asRCNMsvrCGPew8ao
argyle sweater,,,Black,No,1200,300,51,Black,Blue,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,3,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle3,195,7744,5nftKFQRatJC7xgjB
argyle sweater,,,Red,No,1200,300,51,Red,Gray,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,4,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle4,195,7745,nRyNWtuy5uhdJWfQg
argyle sweater,,,Pink,No,1200,300,51,Pink,Orange,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,5,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle6,195,7747,wcs4qoRrafHXt9EKj
argyle sweater,,,Mustard,No,1200,300,51,Yellow,White,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,6,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle2,195,7743,YnhhYiacfsWJcPCpe
argyle sweater,,,Green,No,1200,300,51,Green,Red,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,7,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle0,195,3579,xEqYEzdaBXvj9s346
argyle sweater,,,Purple,No,1200,300,51,Purple,White,1x1,1100,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Autumn,NA,Free,Free,Simple,Elegant,everyday; comfy,8,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLArgyle5,195,7746,f5YsDGb6KcjJHHDvj
argyle vest,,,Gray,No,1440,360,51,Gray,White,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Spring,NA,Free,Free,Simple,Elegant,everyday; formal; work,1,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLArgyle4,106,8483,akqeXj6PYe8Bj4aYY
argyle vest,,,Red,No,1440,360,51,Red,White,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Spring,NA,Free,Free,Simple,Elegant,everyday; formal; work,2,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLArgyle3,106,8482,SMfqtZmDWDAZPEGvM
argyle vest,,,Pink,No,1440,360,51,Pink,White,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Spring,NA,Free,Free,Simple,Elegant,everyday; formal; work,3,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLArgyle1,106,8480,3gRjPwykkZqE2f3tp
argyle vest,,,Green,No,1440,360,51,Green,White,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Spring,NA,Free,Free,Simple,Elegant,everyday; formal; work,4,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLArgyle5,106,8484,LsiMSCR4tDsnLMF7K
argyle vest,,,Blue,No,1440,360,51,Blue,Aqua,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Spring,NA,Free,Free,Simple,Elegant,everyday; formal; work,5,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLArgyle0,106,3262,QfjxZgK6b3zp2hr7T
argyle vest,,,Brown,No,1440,360,51,Brown,White,1x1,1300,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Spring,NA,Free,Free,Simple,Elegant,everyday; formal; work,6,Yes,For sale,1.0.0,Yes,TopsTexTopYshirtsLArgyle2,106,8481,o9fJxQLHiEstT9dtt
athletic jacket,,,Black,No,960,240,51,Black,White,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,outdoorsy; comfy; sporty,1,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLJersey2,93,7199,QhC4BYigzMiswiDSn
athletic jacket,,,Berry red,No,960,240,51,Red,White,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,outdoorsy; comfy; sporty,2,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLJersey4,93,7201,YfNJuXFSjQuTwuETC
athletic jacket,,,Red,No,960,240,51,Red,White,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,outdoorsy; comfy; sporty,3,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLJersey0,93,3244,zgcZP2SW38SpysHJA
athletic jacket,,,Green,No,960,240,51,Green,White,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,outdoorsy; comfy; sporty,4,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLJersey1,93,7198,PzvRHyyS9mQYtTFgw
athletic jacket,,,Blue,No,960,240,51,Blue,White,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,outdoorsy; comfy; sporty,5,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLJersey3,93,7200,3zz3YpwYWcYJifHkC
athletic jacket,,,Navy blue,No,960,240,51,Blue,White,1x1,860,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,outdoorsy; comfy; sporty,6,Yes,For sale,1.0.0,Yes,TopsTexTopOuterLJersey5,93,7202,ZYQDPwif9z8YR4Wpr
baggy shirt,,,Gray,No,NFS,10,53,Gray,Gray,1x1,NA,NA,Recycle box,,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,goth; comfy,1,Yes,Not for sale,1.0.0,Yes,TopsTexTopTshirtsLLoose0,513,4710,LCtayENx9EyLYa4Za
baggy shirt,,,Black,No,NFS,10,53,Black,Black,1x1,NA,NA,Recycle box,,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,goth; comfy,2,Yes,Not for sale,1.0.0,Yes,TopsTexTopTshirtsLLoose1,513,8554,7ffsMJC98YG5kro2L
baggy shirt,,,Brown,No,NFS,10,53,Brown,Brown,1x1,NA,NA,Recycle box,,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,goth; comfy,3,Yes,Not for sale,1.0.0,Yes,TopsTexTopTshirtsLLoose2,513,8555,zKcqFuTkyBr7coxfb
barista uniform,,,Black,No,1600,400,51,Black,White,1x1,1400,Poki,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Free,Cool,Simple,everyday; work,1,Yes,For sale,2.0.0,Yes,TopsTexTopCoatLCafecool0,1445,14752,gA8WSGTYozcJafmy7
barista uniform,,,Brown,No,1600,400,51,Red,White,1x1,1400,Poki,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Free,Cool,Simple,everyday; work,2,Yes,For sale,2.0.0,Yes,TopsTexTopCoatLCafecool1,1445,14950,TnxuFuRHZ75rvKKL2
barista uniform,,,Green,No,1600,400,51,Green,White,1x1,1400,Poki,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Free,Cool,Simple,everyday; work,3,Yes,For sale,2.0.0,Yes,TopsTexTopCoatLCafecool2,1445,14951,iMtXGDLSCnYdzG5kq
barista uniform,,,Chestnut,No,1600,400,51,Beige,White,1x1,1400,Poki,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Free,Cool,Simple,everyday; work,4,Yes,For sale,2.0.0,Yes,TopsTexTopCoatLCafecool3,1445,14952,fKYEur3gLTFkijx9a
baseball shirt,,,White,No,1120,280,51,White,Red,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Summer,NA,Free,Free,Active,Simple,sporty; work,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHBaseball4,352,9396,hSnStWauqiSxbZNXX
baseball shirt,,,Gray,No,1120,280,51,Gray,Blue,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Summer,NA,Free,Free,Active,Simple,sporty; work,2,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHBaseball2,352,9394,fqjd2QBaMZMbwDEhL
baseball shirt,,,Black,No,1120,280,51,Black,White,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Summer,NA,Free,Free,Active,Simple,sporty; work,3,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHBaseball3,352,9395,htYo33ejttt75X4mk
baseball shirt,,,Red,No,1120,280,51,Red,Black,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Summer,NA,Free,Free,Active,Simple,sporty; work,4,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHBaseball1,352,9393,kA8dp8bAq7K4sFtCm
baseball shirt,,,Yellow,No,1120,280,51,Yellow,Black,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Summer,NA,Free,Free,Active,Simple,sporty; work,5,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHBaseball5,352,9397,r5Xs4qK8wvp6fymea
baseball shirt,,,Navy blue,No,1120,280,51,Blue,White,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Summer,NA,Free,Free,Active,Simple,sporty; work,6,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHBaseball0,352,4419,vYCgqwhsoMRcDJfF3
basketball tank,,,Black,No,1120,280,51,Black,Red,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNBasketballshirts7,33,8044,9x9KAwjxXjS5iLkEM
basketball tank,,,Red,No,1120,280,51,Red,Black,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,2,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNBasketballshirts1,33,8038,uoMWejnjaZ6AyHNQt
basketball tank,,,Orange,No,1120,280,51,Orange,Blue,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,3,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNBasketballshirts3,33,8040,vvNhYDS8JMeaS6ixD
basketball tank,,,Yellow,No,1120,280,51,Yellow,Green,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,4,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNBasketballshirts5,33,8042,Qp3ibpyH77Cue45i3
basketball tank,,,Green,No,1120,280,51,Green,Orange,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,5,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNBasketballshirts2,33,8039,k2LnL52SusAtRrHmq
basketball tank,,,Light blue,No,1120,280,51,Aqua,Blue,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,6,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNBasketballshirts6,33,8043,3Zq39RDqBexmDhnbQ
basketball tank,,,Blue,No,1120,280,51,Blue,Red,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,7,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNBasketballshirts4,33,8041,cParkHGdWthejc4wo
basketball tank,,,Purple,No,1120,280,51,Purple,Yellow,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,8,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsNBasketballshirts0,33,2727,dKYrtNZerQWq6Gt7W
bear tee,,,NA,No,800,200,51,Green,Brown,1x1,720,Poki,Nook Shopping Daily Selection,,NA,NA,All Year,Summer,NA,Free,Free,Active,Cute,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHBear0,1025,8196,6smBqDtdwrcsSvnSD
big-star tee,,,NA,No,560,140,51,Blue,Yellow,1x1,500,Poki,Nook Shopping Daily Selection,,NA,NA,All Year,Summer,NA,Free,Free,Simple,Active,everyday; comfy,1,Yes,For sale,1.0.0,Yes,TopsTexTopTshirtsHStar0,1146,6822,JpATLjagWyw8q8zqx
